code,rail,native_description,leg,category,retryability,owner,customer_message,iso20022_equivalent
AC01,iso20022,IncorrectAccountNumber — account number is invalid or incorrect,any,data_quality,retryable_after_fix,merchant_ops,The account number provided is invalid. Please verify and re-submit.,AC01
AC02,iso20022,InvalidDebtorAccountNumber — debtor account number invalid or missing,collection,data_quality,retryable_after_fix,payer,Your account details appear invalid. Please check and try again.,AC02
AC03,iso20022,InvalidCreditorAccountNumber — creditor account number invalid or missing,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient's account number is invalid. Please verify the beneficiary details.,AC03
AC04,iso20022,ClosedAccountNumber — account number specified has been closed,any,data_quality,terminal,merchant_ops,The account is closed. A different account is needed to complete this payment.,AC04
AC05,iso20022,ClosedDebtorAccountNumber — debtor account closed,collection,data_quality,terminal,payer,The sending account is closed. Please use a different account.,AC05
AC06,iso20022,"BlockedAccount — account is blocked, prohibiting posting of transactions",any,limits_regulatory,retryable_after_fix,banking_partner,The account is currently blocked. Contact the account-holding bank to resolve.,AC06
AC07,iso20022,ClosedCreditorAccountNumber — creditor account closed,disbursement,data_quality,terminal,merchant_ops,The recipient's account is closed. Please obtain updated beneficiary details.,AC07
AG01,iso20022,TransactionForbidden — transaction forbidden on this type of account,any,limits_regulatory,terminal,banking_partner,This account type does not permit this kind of payment.,AG01
AG02,iso20022,InvalidBankOperationCode — operation/transaction code incorrect or invalid,any,technical,retryable_after_fix,internal_eng,A technical issue occurred. Our team is on it — no action needed from you.,AG02
AM01,iso20022,ZeroAmount — specified amount is zero,any,data_quality,retryable_after_fix,internal_eng,The payment amount was invalid. Please re-submit with a valid amount.,AM01
AM02,iso20022,NotAllowedAmount — amount exceeds allowed limit,any,limits_regulatory,retryable_after_fix,merchant_ops,The amount exceeds the permitted limit for this payment route.,AM02
AM03,iso20022,NotAllowedCurrency — specified currency not allowed,fx,limits_regulatory,retryable_after_fix,internal_eng,This currency is not supported on this payment route.,AM03
AM04,iso20022,InsufficientFunds — amount of funds available to cover specified message amount is insufficient,collection,funds,retryable_after_fix,payer,Insufficient funds. Please top up your account and retry.,AM04
AM05,iso20022,Duplication — duplicate payment,any,technical,terminal,internal_eng,"This payment was flagged as a duplicate. If you intended a second payment, re-submit with a new reference.",AM05
AM06,iso20022,TooLowAmount — specified transaction amount is less than agreed minimum,any,limits_regulatory,retryable_after_fix,merchant_ops,The amount is below the minimum for this payment route.,AM06
AM07,iso20022,BlockedAmount — amount specified has been blocked by regulatory authorities,any,limits_regulatory,retryable_after_fix,compliance,This payment is on hold pending a regulatory check.,AM07
AM09,iso20022,WrongAmount — amount received is not the amount agreed or expected,any,data_quality,retryable_after_fix,internal_eng,There was an amount mismatch on this payment. Our team is investigating.,AM09
BE01,iso20022,InconsistentWithEndCustomer — identification of end customer is not consistent with associated account number,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient name does not match the account. Please verify beneficiary details.,BE01
BE04,iso20022,MissingCreditorAddress — specification of creditor's address is missing or incorrect,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient's address is missing or incomplete. Please update and retry.,BE04
BE06,iso20022,UnknownEndCustomer — end customer specified is not known at associated sort/branch code,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient could not be identified at the destination bank.,BE06
BE07,iso20022,MissingDebtorAddress — specification of debtor's address is missing or incorrect,collection,data_quality,retryable_after_fix,payer,Your address details are missing or incomplete. Please update your profile.,BE07
CNOR,iso20022,CreditorBankIsNotRegistered — creditor bank not registered under this BIC in the CSM,disbursement,technical,retryable_after_fix,banking_partner,The destination bank is not reachable on this payment route.,CNOR
DNOR,iso20022,DebtorBankIsNotRegistered — debtor bank not registered under this BIC in the CSM,collection,technical,retryable_after_fix,banking_partner,The sending bank is not reachable on this payment route.,DNOR
CUST,iso20022,RequestedByCustomer — cancellation requested by the debtor,any,technical,terminal,payer,This payment was cancelled at the sender's request.,CUST
DT01,iso20022,InvalidDate — invalid date (e.g. wrong or missing settlement date),any,data_quality,retryable_after_fix,internal_eng,A scheduling issue occurred with this payment. Our team is fixing it.,DT01
DUPL,iso20022,DuplicatePayment — payment is a duplicate of another payment,any,technical,terminal,internal_eng,This payment was identified as a duplicate and stopped for your protection.,DUPL
FF01,iso20022,InvalidFileFormat — file format incomplete or invalid,any,technical,retryable_after_fix,internal_eng,A technical formatting issue occurred. Our team is on it.,FF01
FOCR,iso20022,FollowingCancellationRequest — return following a cancellation request,any,technical,terminal,payer,This payment was returned following a cancellation request.,FOCR
FRAD,iso20022,FraudulentOrigin — fraudulent originated payment,any,compliance,terminal,compliance,This payment could not be processed. Please contact support for assistance.,FRAD
MD07,iso20022,EndCustomerDeceased — end customer is deceased,any,data_quality,terminal,merchant_ops,This payment could not be completed. Please contact support.,MD07
MS02,iso20022,NotSpecifiedReasonCustomerGenerated — reason not specified by end customer,any,technical,terminal,payer,The payment was declined by the account holder without a stated reason.,MS02
MS03,iso20022,NotSpecifiedReasonAgentGenerated — reason not specified by agent,any,technical,retryable_after_fix,banking_partner,The bank declined this payment without a stated reason. We are following up.,MS03
NARR,iso20022,Narrative — reason given in free-text narrative field,any,technical,retryable_after_fix,banking_partner,The bank provided additional details on this decline. Our team is reviewing.,NARR
RC01,iso20022,BankIdentifierIncorrect — bank identifier code is invalid or missing,any,data_quality,retryable_after_fix,merchant_ops,The bank code (BIC/routing) is invalid. Please verify and retry.,RC01
RC03,iso20022,InvalidDebtorBankIdentifier — debtor bank identifier invalid or missing,collection,data_quality,retryable_after_fix,payer,Your bank's identifier is invalid. Please verify your bank details.,RC03
RC04,iso20022,InvalidCreditorBankIdentifier — creditor bank identifier invalid or missing,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient bank's identifier is invalid. Please verify beneficiary bank details.,RC04
RR01,iso20022,MissingDebtorAccountOrIdentification — regulatory: debtor account or identification missing,any,compliance,retryable_after_fix,compliance,Additional sender identification is required by regulation. Please complete your profile.,RR01
RR02,iso20022,MissingDebtorNameOrAddress — regulatory: debtor name or address missing,any,compliance,retryable_after_fix,compliance,Regulation requires the sender's full name and address. Please update your details.,RR02
RR03,iso20022,MissingCreditorNameOrAddress — regulatory: creditor name or address missing,any,compliance,retryable_after_fix,compliance,Regulation requires the recipient's full name and address. Please update beneficiary details.,RR03
RR04,iso20022,RegulatoryReason — generic regulatory reason,any,compliance,retryable_after_fix,compliance,This payment is held for a regulatory check. We will update you shortly.,RR04
TM01,iso20022,InvalidCutOffTime — payment received after agreed cut-off time,any,technical,retryable,internal_eng,The payment missed today's processing window and will be retried in the next one.,TM01
R01,ach,Insufficient Funds — available balance is not sufficient to cover the debit entry,collection,funds,retryable,payer,Insufficient funds. The debit can be retried — please ensure funds are available.,AM04
R02,ach,Account Closed — previously active account has been closed,any,data_quality,terminal,merchant_ops,The account is closed. A different account is needed.,AC04
R03,ach,No Account / Unable to Locate Account — account number structure valid but doesn't match any account,any,data_quality,retryable_after_fix,merchant_ops,The account could not be found. Please verify the account number.,AC01
R04,ach,Invalid Account Number Structure — account number fails format validation,any,data_quality,retryable_after_fix,merchant_ops,The account number format is invalid. Please verify and re-submit.,AC01
R05,ach,Unauthorized Debit to Consumer Account Using Corporate SEC Code,collection,compliance,terminal,compliance,This debit was not authorized for a consumer account and has been returned.,MD01
R06,ach,Returned per ODFI's Request — originating bank requested return,any,technical,terminal,internal_eng,This payment was recalled. Our team will follow up with details.,CUST
R07,ach,Authorization Revoked by Customer — consumer revoked prior authorization,collection,compliance,terminal,compliance,The account holder revoked authorization for this debit.,MD01
R08,ach,Payment Stopped — receiver placed a stop payment order,collection,technical,terminal,payer,A stop-payment order blocked this transaction.,CUST
R09,ach,Uncollected Funds — sufficient ledger balance but funds not yet collected/available,collection,funds,retryable,payer,Funds were not yet available. The payment will be retried.,AM04
R10,ach,Customer Advises Originator is Not Known/Authorized — unauthorized debit claim,collection,compliance,terminal,compliance,The account holder reported this debit as unauthorized.,FRAD
R11,ach,Customer Advises Entry Not in Accordance with Authorization — error in the debit terms,collection,data_quality,retryable_after_fix,merchant_ops,The debit didn't match its authorization terms. It can be corrected and re-originated.,MD02
R12,ach,Branch Sold to Another DFI — account at a branch sold to another institution,any,data_quality,retryable_after_fix,merchant_ops,The bank branch has changed institutions. Updated account routing is needed.,RC01
R13,ach,Invalid ACH Routing Number — entry contains an invalid receiving DFI routing number,any,data_quality,retryable_after_fix,merchant_ops,The routing number is invalid. Please verify the bank details.,RC01
R14,ach,Representative Payee Deceased — representative payee deceased or unable to continue,any,data_quality,terminal,merchant_ops,This payment could not be completed. Please contact support.,MD07
R15,ach,Beneficiary or Account Holder Deceased,any,data_quality,terminal,merchant_ops,This payment could not be completed. Please contact support.,MD07
R16,ach,Account Frozen / Entry Returned per OFAC Instruction,any,compliance,terminal,compliance,The account is frozen and cannot receive this payment. Please contact support.,AC06
R17,ach,File Record Edit Criteria — entry with invalid fields or flagged questionable by RDFI,any,technical,retryable_after_fix,internal_eng,A formatting issue occurred on this payment. Our team is correcting it.,FF01
R20,ach,Non-Transaction Account — account does not accept ACH entries (e.g. savings restrictions),any,limits_regulatory,terminal,merchant_ops,This account type cannot receive this payment. A different account is needed.,AG01
R21,ach,Invalid Company Identification — company ID in the entry is not valid,any,data_quality,retryable_after_fix,internal_eng,A sender identification issue occurred. Our team is fixing it.,BE05
R22,ach,Invalid Individual ID Number — receiver's ID number is not valid,any,data_quality,retryable_after_fix,merchant_ops,The recipient's ID reference is invalid. Please verify beneficiary details.,BE06
R23,ach,"Credit Entry Refused by Receiver — receiver refused the credit (e.g. wrong amount, duplicate)",disbursement,technical,terminal,merchant_ops,The recipient declined this payment. Please confirm details with them and re-send.,MS02
R24,ach,Duplicate Entry — entry is a duplicate of a previously processed transaction,any,technical,terminal,internal_eng,This payment was flagged as a duplicate and stopped for your protection.,DUPL
R29,ach,Corporate Customer Advises Not Authorized — corporate receiver claims debit not authorized,collection,compliance,terminal,compliance,The business account holder reported this debit as unauthorized.,MD01
R31,ach,Permissible Return Entry — RDFI returning a CCD/CTX with ODFI agreement,collection,technical,terminal,banking_partner,This payment was returned by agreement between the banks.,MS03
R80,ach,IAT Entry Coding Error — international ACH entry has invalid coding,disbursement,technical,retryable_after_fix,internal_eng,A coding issue occurred on this international payment. Our team is correcting it.,FF01
R81,ach,Non-Participant in IAT Program — receiving bank not part of the international ACH program,disbursement,limits_regulatory,terminal,banking_partner,The destination bank cannot receive international ACH payments. An alternate route is needed.,AG01
R82,ach,Invalid Foreign Receiving DFI Identification — foreign bank identifier invalid,disbursement,data_quality,retryable_after_fix,merchant_ops,The destination bank's identifier is invalid. Please verify the bank details.,RC04
R83,ach,Foreign Receiving DFI Unable to Settle — foreign bank cannot settle the entry,disbursement,technical,retryable,banking_partner,The destination bank could not settle this payment. It will be retried or re-routed.,ED05
R84,ach,Entry Not Processed by Gateway — IAT entry not processed by the gateway operator,correspondent,technical,retryable,banking_partner,An intermediary processing issue occurred. The payment will be retried.,ED05
R85,ach,Incorrectly Coded Outbound International Payment — outbound IAT miscoded,disbursement,technical,retryable_after_fix,internal_eng,A coding issue occurred on this international payment. Our team is correcting it.,FF01
